,mon,osd,driver,worker,read,write,container,object,size,throughput-read
1mon6osd_1driver_0read100write0delete_1worker_16container_4096object_512KB_180sec_20151124083630,1,6,1,1,0,100,16,4096,0,0.0
1mon30osd_2driver_90read10write0delete_4worker_16container_4096object_512KB_180sec_20151123042545,1,30,2,4,90,10,16,4096,0,149.9475
1mon10osd_2driver_25read75write0delete_4worker_16container_4096object_512KB_180sec_20151123210313,1,10,2,4,25,75,16,4096,0,22.885833333333338
1mon30osd_2driver_90read10write0delete_2worker_16container_4096object_512KB_180sec_20151123034912,1,30,2,2,90,10,16,4096,0,70.13416666666666
1mon4osd_4driver_25read75write0delete_4worker_16container_4096object_512KB_180sec_20151124195144,1,4,4,4,25,75,16,4096,0,19.224166666666665
1mon4osd_2driver_0read100write0delete_2worker_16container_4096object_512KB_180sec_20151124174849,1,4,2,2,0,100,16,4096,0,0.0
1mon30osd_4driver_50read50write0delete_16worker_16container_4096object_512KB_180sec_20151123074800,1,30,4,16,50,50,16,4096,0,74.36083333333333
1mon8osd_1driver_10read90write0delete_1worker_16container_4096object_512KB_180sec_20151124012640,1,8,1,1,10,90,16,4096,0,3.207777777777778
1mon8osd_2driver_75read25write0delete_2worker_16container_4096object_512KB_180sec_20151124032400,1,8,2,2,75,25,16,4096,0,70.79083333333334
1mon10osd_2driver_75read25write0delete_4worker_16container_4096object_512KB_180sec_20151123205332,1,10,2,4,75,25,16,4096,0,128.67472222222221
1mon20osd_2driver_0read100write0delete_2worker_16container_4096object_512KB_180sec_20151123120048,1,20,2,2,0,100,16,4096,0,0.0
1mon6osd_2driver_25read75write0delete_8worker_16container_4096object_512KB_180sec_20151124114350,1,6,2,8,25,75,16,4096,0,24.00166666666667
1mon20osd_2driver_100read0write0delete_16worker_16container_4096object_512KB_180sec_20151123131639,1,20,2,16,100,0,16,4096,0,384.46166666666676
1mon10osd_1driver_10read90write0delete_2worker_16container_4096object_512KB_180sec_20151123185412,1,10,1,2,10,90,16,4096,0,5.381944444444445
1mon20osd_2driver_25read75write0delete_2worker_16container_4096object_512KB_180sec_20151123115053,1,20,2,2,25,75,16,4096,0,11.9425
1mon20osd_1driver_75read25write0delete_8worker_16container_4096object_512KB_180sec_20151123110509,1,20,1,8,75,25,16,4096,0,132.0935135135135
1mon30osd_1driver_90read10write0delete_8worker_16container_4096object_512KB_180sec_20151123031135,1,30,1,8,90,10,16,4096,0,194.76611111111114
1mon20osd_4driver_50read50write0delete_32worker_16container_4096object_512KB_180sec_20151123155846,1,20,4,32,50,50,16,4096,0,77.01027777777777
1mon4osd_1driver_25read75write0delete_8worker_16container_4096object_512KB_180sec_20151124170539,1,4,1,8,25,75,16,4096,0,22.165277777777778
1mon10osd_2driver_100read0write0delete_2worker_16container_4096object_512KB_180sec_20151123201108,1,10,2,2,100,0,16,4096,0,149.51666666666665
1mon20osd_2driver_0read100write0delete_4worker_16container_4096object_512KB_180sec_20151123123539,1,20,2,4,0,100,16,4096,0,0.0
1mon4osd_4driver_90read10write0delete_16worker_16container_4096object_512KB_180sec_20151124204425,1,4,4,16,90,10,16,4096,0,255.61944444444447
1mon4osd_4driver_25read75write0delete_32worker_16container_4096object_512KB_180sec_20151124213252,1,4,4,32,25,75,16,4096,0,22.932222222222222
1mon8osd_1driver_50read50write0delete_1worker_16container_4096object_512KB_180sec_20151124011730,1,8,1,1,50,50,16,4096,0,16.634999999999998
1mon10osd_4driver_50read50write0delete_4worker_16container_4096object_512KB_180sec_20151123224104,1,10,4,4,50,50,16,4096,0,58.09305555555555
1mon4osd_4driver_75read25write0delete_8worker_16container_4096object_512KB_180sec_20151124201532,1,4,4,8,75,25,16,4096,0,114.25
1mon10osd_4driver_25read75write0delete_32worker_16container_4096object_512KB_180sec_20151124003026,1,10,4,32,25,75,16,4096,0,24.1845945945946
