,mon,osd,driver,worker,read,write,container,object,size,throughput-write
1mon8osd_1driver_25read75write0delete_2worker_16container_4096object_512KB_180sec_20151124015403,1,8,1,2,25,75,16,4096,0,40.54222222222223
1mon20osd_4driver_90read10write0delete_4worker_16container_4096object_512KB_180sec_20151123135806,1,20,4,4,90,10,16,4096,0,16.954722222222223
1mon20osd_2driver_50read50write0delete_4worker_16container_4096object_512KB_180sec_20151123122027,1,20,2,4,50,50,16,4096,0,48.02583333333334
1mon20osd_2driver_0read100write0delete_8worker_16container_4096object_512KB_180sec_20151123131125,1,20,2,8,0,100,16,4096,0,72.76540540540542
1mon8osd_4driver_100read0write0delete_16worker_16container_4096object_512KB_180sec_20151124063746,1,8,4,16,100,0,16,4096,0,0.0
1mon4osd_2driver_90read10write0delete_2worker_16container_4096object_512KB_180sec_20151124172557,1,4,2,2,90,10,16,4096,0,5.779166666666666
1mon30osd_2driver_25read75write0delete_8worker_16container_4096object_512KB_180sec_20151123051848,1,30,2,8,25,75,16,4096,0,74.91722222222224
1mon4osd_1driver_50read50write0delete_2worker_16container_4096object_512KB_180sec_20151124155533,1,4,1,2,50,50,16,4096,0,24.466944444444447
1mon6osd_4driver_50read50write0delete_8worker_16container_4096object_512KB_180sec_20151124132105,1,6,4,8,50,50,16,4096,0,74.09722222222221
1mon8osd_4driver_25read75write0delete_32worker_16container_4096object_512KB_180sec_20151124073506,1,8,4,32,25,75,16,4096,0,78.13277777777779
1mon8osd_2driver_90read10write0delete_2worker_16container_4096object_512KB_180sec_20151124031927,1,8,2,2,90,10,16,4096,0,11.60527777777778
1mon8osd_1driver_75read25write0delete_1worker_16container_4096object_512KB_180sec_20151124011256,1,8,1,1,75,25,16,4096,0,9.606666666666666
1mon20osd_1driver_10read90write0delete_1worker_16container_4096object_512KB_180sec_20151123093539,1,20,1,1,10,90,16,4096,0,24.939999999999998
1mon30osd_4driver_0read100write0delete_4worker_16container_4096object_512KB_180sec_20151123064659,1,30,4,4,0,100,16,4096,0,65.00972222222222
1mon30osd_2driver_50read50write0delete_4worker_16container_4096object_512KB_180sec_20151123043612,1,30,2,4,50,50,16,4096,0,52.431111111111115
1mon10osd_4driver_75read25write0delete_8worker_16container_4096object_512KB_180sec_20151123231022,1,10,4,8,75,25,16,4096,0,67.14972222222222
1mon6osd_2driver_90read10write0delete_4worker_16container_4096object_512KB_180sec_20151124105622,1,6,2,4,90,10,16,4096,0,17.08611111111111
1mon8osd_1driver_25read75write0delete_8worker_16container_4096object_512KB_180sec_20151124030009,1,8,1,8,25,75,16,4096,0,76.81083333333333
1mon4osd_2driver_10read90write0delete_16worker_16container_4096object_512KB_180sec_20151124192309,1,4,2,16,10,90,16,4096,0,69.76055555555556
1mon6osd_2driver_90read10write0delete_8worker_16container_4096object_512KB_180sec_20151124112931,1,6,2,8,90,10,16,4096,0,28.446388888888887
1mon4osd_4driver_100read0write0delete_8worker_16container_4096object_512KB_180sec_20151124200624,1,4,4,8,100,0,16,4096,0,0.0
1mon10osd_1driver_25read75write0delete_2worker_16container_4096object_512KB_180sec_20151123184929,1,10,1,2,25,75,16,4096,0,41.652499999999996
1mon10osd_4driver_100read0write0delete_4worker_16container_4096object_512KB_180sec_20151123222643,1,10,4,4,100,0,16,4096,0,0.0
1mon20osd_4driver_10read90write0delete_8worker_16container_4096object_512KB_180sec_20151123145513,1,20,4,8,10,90,16,4096,0,76.33388888888891
1mon6osd_1driver_10read90write0delete_8worker_16container_4096object_512KB_180sec_20151124100938,1,6,1,8,10,90,16,4096,0,77.4775
1mon4osd_4driver_100read0write0delete_32worker_16container_4096object_512KB_180sec_20151124211340,1,4,4,32,100,0,16,4096,0,0.0
1mon30osd_2driver_75read25write0delete_2worker_16container_4096object_512KB_180sec_20151123035417,1,30,2,2,75,25,16,4096,0,17.55027777777778
1mon10osd_2driver_10read90write0delete_8worker_16container_4096object_512KB_180sec_20151123214217,1,10,2,8,10,90,16,4096,0,77.95250000000001
1mon4osd_2driver_90read10write0delete_4worker_16container_4096object_512KB_180sec_20151124175802,1,4,2,4,90,10,16,4096,0,10.966111111111111
1mon10osd_1driver_100read0write0delete_1worker_16container_4096object_512KB_180sec_20151123175844,1,10,1,1,100,0,16,4096,0,0.0
1mon10osd_4driver_0read100write0delete_16worker_16container_4096object_512KB_180sec_20151124000523,1,10,4,16,0,100,16,4096,0,78.53416666666666
1mon10osd_1driver_0read100write0delete_1worker_16container_4096object_512KB_180sec_20151123182626,1,10,1,1,0,100,16,4096,0,29.84083333333334
1mon30osd_2driver_25read75write0delete_16worker_16container_4096object_512KB_180sec_20151123055703,1,30,2,16,25,75,16,4096,0,71.0725
1mon6osd_1driver_90read10write0delete_8worker_16container_4096object_512KB_180sec_20151124095039,1,6,1,8,90,10,16,4096,0,21.698333333333334
1mon20osd_2driver_25read75write0delete_16worker_16container_4096object_512KB_180sec_20151123133715,1,20,2,16,25,75,16,4096,0,75.64194444444443
1mon4osd_1driver_75read25write0delete_2worker_16container_4096object_512KB_180sec_20151124155105,1,4,1,2,75,25,16,4096,0,13.038888888888888
1mon6osd_4driver_0read100write0delete_32worker_16container_4096object_512KB_180sec_20151124144412,1,6,4,32,0,100,16,4096,0,77.06567567567569
1mon20osd_2driver_10read90write0delete_2worker_16container_4096object_512KB_180sec_20151123115549,1,20,2,2,10,90,16,4096,0,41.83972222222222
1mon4osd_1driver_0read100write0delete_4worker_16container_4096object_512KB_180sec_20151124164142,1,4,1,4,0,100,16,4096,0,69.07138888888888
1mon4osd_2driver_50read50write0delete_2worker_16container_4096object_512KB_180sec_20151124173457,1,4,2,2,50,50,16,4096,0,23.994444444444447
1mon30osd_1driver_100read0write0delete_2worker_16container_4096object_512KB_180sec_20151123015328,1,30,1,2,100,0,16,4096,0,0.0
1mon20osd_2driver_25read75write0delete_4worker_16container_4096object_512KB_180sec_20151123122528,1,20,2,4,25,75,16,4096,0,60.24555555555556
1mon6osd_4driver_75read25write0delete_8worker_16container_4096object_512KB_180sec_20151124131609,1,6,4,8,75,25,16,4096,0,61.747222222222234
1mon8osd_2driver_75read25write0delete_16worker_16container_4096object_512KB_180sec_20151124050421,1,8,2,16,75,25,16,4096,0,76.69055555555556
1mon20osd_1driver_90read10write0delete_4worker_16container_4096object_512KB_180sec_20151123102453,1,20,1,4,90,10,16,4096,0,10.33111111111111
1mon8osd_1driver_100read0write0delete_8worker_16container_4096object_512KB_180sec_20151124024112,1,8,1,8,100,0,16,4096,0,0.0
1mon10osd_2driver_90read10write0delete_8worker_16container_4096object_512KB_180sec_20151123212234,1,10,2,8,90,10,16,4096,0,37.40694444444444
1mon6osd_2driver_90read10write0delete_2worker_16container_4096object_512KB_180sec_20151124102404,1,6,2,2,90,10,16,4096,0,9.387777777777778
1mon8osd_4driver_75read25write0delete_16worker_16container_4096object_512KB_180sec_20151124064858,1,8,4,16,75,25,16,4096,0,61.924722222222236
1mon8osd_4driver_10read90write0delete_32worker_16container_4096object_512KB_180sec_20151124074004,1,8,4,32,10,90,16,4096,0,75.70108108108109
1mon10osd_2driver_75read25write0delete_16worker_16container_4096object_512KB_180sec_20151123220138,1,10,2,16,75,25,16,4096,0,75.98444444444445
1mon30osd_1driver_0read100write0delete_2worker_16container_4096object_512KB_180sec_20151123022431,1,30,1,2,0,100,16,4096,0,48.59277777777777
1mon30osd_4driver_10read90write0delete_8worker_16container_4096object_512KB_180sec_20151123072029,1,30,4,8,10,90,16,4096,0,75.43722222222222
1mon6osd_2driver_100read0write0delete_2worker_16container_4096object_512KB_180sec_20151124101930,1,6,2,2,100,0,16,4096,0,0.0
1mon8osd_4driver_100read0write0delete_4worker_16container_4096object_512KB_180sec_20151124052920,1,8,4,4,100,0,16,4096,0,0.0
1mon8osd_2driver_0read100write0delete_2worker_16container_4096object_512KB_180sec_20151124034245,1,8,2,2,0,100,16,4096,0,50.543611111111105
1mon4osd_4driver_0read100write0delete_32worker_16container_4096object_512KB_180sec_20151124214249,1,4,4,32,0,100,16,4096,0,68.13837837837838
1mon6osd_4driver_10read90write0delete_8worker_16container_4096object_512KB_180sec_20151124133058,1,6,4,8,10,90,16,4096,0,77.2388888888889
1mon10osd_1driver_0read100write0delete_8worker_16container_4096object_512KB_180sec_20151123200600,1,10,1,8,0,100,16,4096,0,74.48222222222222
